Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|287.6682.peg.10	CDS	NODE_10_length_235234_cov_7.139043	4419	3214	-3	-	1206	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Acetyl-CoA fermentation to Butyrate; <br>Biotin biosynthesis; <br>Biotin synthesis cluster; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>CBSS-246196.1.peg.364; <br>Fatty acid metabolism cluster; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Polyhydroxybutyrate metabolism; <br>n-Phenylalkanoic acid degradation	 	 
fig|287.6682.peg.11	CDS	NODE_10_length_235234_cov_7.139043	4437	4553	3	+	117	hypothetical protein	- none -	 	 
fig|287.6682.peg.12	CDS	NODE_10_length_235234_cov_7.139043	4874	4969	2	+	96	hypothetical protein	- none -	 	 
fig|287.6682.peg.13	CDS	NODE_10_length_235234_cov_7.139043	5066	5887	2	+	822	Cytochrome c family protein	- none -	 	 
fig|287.6682.peg.14	CDS	NODE_10_length_235234_cov_7.139043	6837	6028	-3	-	810	Protein containing transglutaminase-like domain, putative cysteine protease	- none -	 	 
fig|287.6682.peg.15	CDS	NODE_10_length_235234_cov_7.139043	7784	6834	-2	-	951	Protein containing domains DUF403	- none -	 	 
fig|287.6682.peg.16	CDS	NODE_10_length_235234_cov_7.139043	9206	7797	-2	-	1410	Protein containing domains DUF404, DUF407	- none -	 	 
fig|287.6682.peg.17	CDS	NODE_10_length_235234_cov_7.139043	10007	9666	-2	-	342	Superfamily II DNA/RNA helicases, SNF2 family	- none -	 	 
fig|287.6682.peg.18	CDS	NODE_10_length_235234_cov_7.139043	10456	10223	-1	-	234	hypothetical protein	- none -	 	 
fig|287.6682.peg.19	CDS	NODE_10_length_235234_cov_7.139043	10954	10763	-1	-	192	hypothetical protein	- none -	 	 
fig|287.6682.peg.20	CDS	NODE_10_length_235234_cov_7.139043	11568	11038	-3	-	531	hypothetical protein	- none -	 	 
fig|287.6682.peg.21	CDS	NODE_10_length_235234_cov_7.139043	12240	11722	-3	-	519	FOG: Ankyrin repeat	- none -	 	 
fig|287.6682.peg.22	CDS	NODE_10_length_235234_cov_7.139043	14175	12337	-3	-	1839	Citronellyl-CoA synthetase	- none -	 	 
fig|287.6682.peg.23	CDS	NODE_10_length_235234_cov_7.139043	14530	14808	1	+	279	hypothetical protein	- none -	 	 
fig|287.6682.peg.24	CDS	NODE_10_length_235234_cov_7.139043	15592	15047	-1	-	546	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	- none -	 	 
fig|287.6682.peg.25	CDS	NODE_10_length_235234_cov_7.139043	15756	15613	-3	-	144	Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	- none -	 	 
fig|287.6682.peg.26	CDS	NODE_10_length_235234_cov_7.139043	16898	15753	-2	-	1146	Nucleoside:H+ symporter:Major facilitator superfamily	- none -	 	 
fig|287.6682.peg.27	CDS	NODE_10_length_235234_cov_7.139043	18071	16980	-2	-	1092	Chorismate synthase (EC 4.2.3.5)	Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	 	 
fig|287.6682.peg.28	CDS	NODE_10_length_235234_cov_7.139043	18170	19180	2	+	1011	Hydrolase, alpha/beta fold family	- none -	 	 
fig|287.6682.peg.29	CDS	NODE_10_length_235234_cov_7.139043	19334	20125	2	+	792	hypothetical protein	- none -	 	 
fig|287.6682.peg.30	CDS	NODE_10_length_235234_cov_7.139043	21160	20252	-1	-	909	Ribosomal protein L3 N(5)-glutamine methyltransferase (EC 2.1.1.298)	- none -	 	 
fig|287.6682.peg.31	CDS	NODE_10_length_235234_cov_7.139043	21399	21989	3	+	591	Isochorismatase (EC 3.3.2.1)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	 	 
fig|287.6682.peg.32	CDS	NODE_10_length_235234_cov_7.139043	22121	22441	2	+	321	hypothetical protein	- none -	 	 
fig|287.6682.peg.33	CDS	NODE_10_length_235234_cov_7.139043	22517	23074	2	+	558	Smr domain protein	- none -	 	 
fig|287.6682.peg.34	CDS	NODE_10_length_235234_cov_7.139043	23152	23697	1	+	546	GTP cyclohydrolase I (EC 3.5.4.16) type 1	Folate Biosynthesis; <br>Folate biosynthesis cluster	 	 
fig|287.6682.peg.35	CDS	NODE_10_length_235234_cov_7.139043	23800	24171	1	+	372	Glutaredoxin	Glutaredoxins; <br>Glutathione: Redox cycle; <br>Phage DNA synthesis	 	 
fig|287.6682.peg.36	CDS	NODE_10_length_235234_cov_7.139043	25540	24374	-1	-	1167	Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)	- none -	 	 
fig|287.6682.peg.37	CDS	NODE_10_length_235234_cov_7.139043	25623	26069	3	+	447	Transcriptional regulator, MarR family	- none -	 	 
fig|287.6682.peg.38	CDS	NODE_10_length_235234_cov_7.139043	26261	26115	-2	-	147	hypothetical protein	- none -	 	 
fig|287.6682.peg.39	CDS	NODE_10_length_235234_cov_7.139043	26385	27734	3	+	1350	Xanthine/uracil/thiamine/ascorbate permease family protein	Purine Utilization	 	 
fig|287.6682.peg.40	CDS	NODE_10_length_235234_cov_7.139043	27814	28440	1	+	627	Homoserine/homoserine lactone efflux protein	- none -	 	 
fig|287.6682.peg.41	CDS	NODE_10_length_235234_cov_7.139043	29015	28662	-2	-	354	5-hydroxyisourate hydrolase (EC 3.5.2.17)	- none -	 	 
fig|287.6682.peg.42	CDS	NODE_10_length_235234_cov_7.139043	29451	30377	3	+	927	Uricase (urate oxidase) (EC 1.7.3.3)	- none -	 	 
fig|287.6682.peg.43	CDS	NODE_10_length_235234_cov_7.139043	30374	30889	2	+	516	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase (EC 4.1.1.97)	- none -	 	 
fig|287.6682.peg.44	CDS	NODE_10_length_235234_cov_7.139043	30978	31973	3	+	996	Allantoicase (EC 3.5.3.4)	- none -	 	 
fig|287.6682.peg.45	CDS	NODE_10_length_235234_cov_7.139043	32094	32597	3	+	504	Ureidoglycolate lyase (EC 4.3.2.3)	- none -	 	 
fig|287.6682.peg.46	CDS	NODE_10_length_235234_cov_7.139043	32648	34039	2	+	1392	FIG137887: membrane protein related to purine degradation	- none -	 	 
fig|287.6682.peg.47	CDS	NODE_10_length_235234_cov_7.139043	34059	34262	3	+	204	Xanthine permease	Purine Utilization; <br>Xanthine Metabolism in Bacteria	 	 
fig|287.6682.peg.48	CDS	NODE_10_length_235234_cov_7.139043	34424	35209	2	+	786	Nucleoside-binding outer membrane protein	- none -	 	 
fig|287.6682.peg.49	CDS	NODE_10_length_235234_cov_7.139043	35583	36368	3	+	786	Nucleoside-binding outer membrane protein	- none -	 	 
fig|287.6682.peg.50	CDS	NODE_10_length_235234_cov_7.139043	37644	36472	-3	-	1173	Patatin	- none -	 	 
fig|287.6682.peg.51	CDS	NODE_10_length_235234_cov_7.139043	38612	37680	-2	-	933	Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)	- none -	 	 
fig|287.6682.peg.52	CDS	NODE_10_length_235234_cov_7.139043	38722	39468	1	+	747	Septum site-determining protein MinC	Bacterial cell division cluster; <br>Septum site-determining cluster Min	 	 
fig|287.6682.peg.53	CDS	NODE_10_length_235234_cov_7.139043	39670	40482	1	+	813	Septum site-determining protein MinD	Bacterial cell division cluster; <br>Septum site-determining cluster Min	 	 
fig|287.6682.peg.54	CDS	NODE_10_length_235234_cov_7.139043	40482	40736	3	+	255	Cell division topological specificity factor MinE	Bacterial cell division cluster; <br>Septum site-determining cluster Min	 	 
fig|287.6682.peg.55	CDS	NODE_10_length_235234_cov_7.139043	40915	41550	1	+	636	Ribosomal large subunit pseudouridine(746) synthase (EC 5.4.99.29) @ tRNA pseudouridine(32) synthase (EC 5.4.99.28)	- none -	 	 
fig|287.6682.peg.56	CDS	NODE_10_length_235234_cov_7.139043	41760	43049	3	+	1290	Aspartyl aminopeptidase (EC 3.4.11.21)	- none -	 	 
fig|287.6682.peg.57	CDS	NODE_10_length_235234_cov_7.139043	43256	43432	2	+	177	hypothetical protein	- none -	 	 
fig|287.6682.peg.58	CDS	NODE_10_length_235234_cov_7.139043	43505	45640	2	+	2136	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel	Potassium homeostasis	 	 
fig|287.6682.peg.59	CDS	NODE_10_length_235234_cov_7.139043	46514	45801	-2	-	714	Transcriptional regulator, GntR family	- none -	 	 
fig|287.6682.peg.60	CDS	NODE_10_length_235234_cov_7.139043	46865	47929	2	+	1065	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|287.6682.peg.61	CDS	NODE_10_length_235234_cov_7.139043	48109	48915	1	+	807	hypothetical protein	- none -	 	 
fig|287.6682.peg.62	CDS	NODE_10_length_235234_cov_7.139043	48912	49757	3	+	846	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|287.6682.peg.63	CDS	NODE_10_length_235234_cov_7.139043	49744	50544	1	+	801	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|287.6682.peg.64	CDS	NODE_10_length_235234_cov_7.139043	50541	51530	3	+	990	ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron); ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)	- none -	 	 
fig|287.6682.peg.65	CDS	NODE_10_length_235234_cov_7.139043	51643	52296	1	+	654	Phosphoserine phosphatase (EC 3.1.3.3)	Glycine and Serine Utilization; <br>Serine Biosynthesis; <br>Serine Biosynthesis	 	 
fig|287.6682.peg.66	CDS	NODE_10_length_235234_cov_7.139043	53427	52465	-3	-	963	Quinone oxidoreductase (EC 1.6.5.5)	Quinone oxidoreductase family	 	 
fig|287.6682.peg.67	CDS	NODE_10_length_235234_cov_7.139043	53533	55647	1	+	2115	tail-specific protease	- none -	 	 
fig|287.6682.peg.68	CDS	NODE_10_length_235234_cov_7.139043	55782	57572	3	+	1791	Sensory box/GGDEF family protein	- none -	 	 
fig|287.6682.peg.69	CDS	NODE_10_length_235234_cov_7.139043	58003	57680	-1	-	324	hypothetical protein	- none -	 	 
fig|287.6682.peg.70	CDS	NODE_10_length_235234_cov_7.139043	58909	58502	-1	-	408	hypothetical protein	- none -	 	 
fig|287.6682.peg.71	CDS	NODE_10_length_235234_cov_7.139043	59281	58910	-1	-	372	hypothetical protein	- none -	 	 
fig|287.6682.peg.72	CDS	NODE_10_length_235234_cov_7.139043	59619	59278	-3	-	342	Transcriptional regulator, Xre family	- none -	 	 
fig|287.6682.peg.73	CDS	NODE_10_length_235234_cov_7.139043	60190	59735	-1	-	456	DUF1232 domain-containing protein	- none -	 	 
fig|287.6682.peg.74	CDS	NODE_10_length_235234_cov_7.139043	61198	60485	-1	-	714	FKBP-type peptidyl-prolyl cis-trans isomerase FklB (EC 5.2.1.8)	Peptidyl-prolyl cis-trans isomerase	 	 
fig|287.6682.peg.75	CDS	NODE_10_length_235234_cov_7.139043	61468	63300	1	+	1833	hypothetical protein	- none -	 	 
fig|287.6682.peg.76	CDS	NODE_10_length_235234_cov_7.139043	63304	64440	1	+	1137	Catalase-like heme-binding protein	- none -	 	 
fig|287.6682.peg.77	CDS	NODE_10_length_235234_cov_7.139043	65443	66363	1	+	921	DNA recombination-dependent growth factor RdgC	- none -	 	 
fig|287.6682.peg.78	CDS	NODE_10_length_235234_cov_7.139043	66539	67504	2	+	966	Uncharacterized sodium-dependent transporter YocS	- none -	 	 
fig|287.6682.peg.79	CDS	NODE_10_length_235234_cov_7.139043	67625	67939	2	+	315	small multidrug resistance family (SMR) protein	- none -	 	 
fig|287.6682.peg.80	CDS	NODE_10_length_235234_cov_7.139043	69939	68065	-3	-	1875	Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40)	- none -	 	 
fig|287.6682.peg.81	CDS	NODE_10_length_235234_cov_7.139043	71218	70067	-1	-	1152	C4-dicarboxylate transporter/malic acid transport protein	- none -	 	 
fig|287.6682.peg.82	CDS	NODE_10_length_235234_cov_7.139043	71631	75101	3	+	3471	Sensor histidine kinase	- none -	 	 
fig|287.6682.peg.83	CDS	NODE_10_length_235234_cov_7.139043	76720	75242	-1	-	1479	DNA recombination protein RmuC	DNA repair, bacterial	 	 
fig|287.6682.peg.84	CDS	NODE_10_length_235234_cov_7.139043	77033	76782	-2	-	252	hypothetical protein	- none -	 	 
fig|287.6682.peg.85	CDS	NODE_10_length_235234_cov_7.139043	78087	78311	3	+	225	hypothetical protein	- none -	 	 
fig|287.6682.peg.86	CDS	NODE_10_length_235234_cov_7.139043	78586	79068	1	+	483	hypothetical protein	- none -	 	 
fig|287.6682.peg.87	CDS	NODE_10_length_235234_cov_7.139043	79215	80483	3	+	1269	Long-chain fatty acid transport protein	- none -	 	 
fig|287.6682.peg.88	CDS	NODE_10_length_235234_cov_7.139043	81118	80567	-1	-	552	Glutathione peroxidase (EC 1.11.1.9)	Glutathione: Redox cycle	 	 
fig|287.6682.peg.89	CDS	NODE_10_length_235234_cov_7.139043	81297	81175	-3	-	123	FIG00955530: hypothetical protein	- none -	 	 
fig|287.6682.peg.90	CDS	NODE_10_length_235234_cov_7.139043	82502	81294	-2	-	1209	Uncharacterized MFS-type transporter	- none -	 	 
fig|287.6682.peg.91	CDS	NODE_10_length_235234_cov_7.139043	82959	82555	-3	-	405	Transcriptional regulator, MarR family	- none -	 	 
fig|287.6682.peg.92	CDS	NODE_10_length_235234_cov_7.139043	83184	84674	3	+	1491	Gamma-glutamyl-aminobutyraldehyde dehydrogenase (EC 1.2.1.-)	Putrescine utilization pathways	 	 
fig|287.6682.peg.93	CDS	NODE_10_length_235234_cov_7.139043	84727	86025	1	+	1299	Gamma-glutamyl-putrescine oxidase (EC1.4.3.-)	Putrescine utilization pathways	 	 
fig|287.6682.peg.94	CDS	NODE_10_length_235234_cov_7.139043	86246	86127	-2	-	120	hypothetical protein	- none -	 	 
fig|287.6682.peg.95	CDS	NODE_10_length_235234_cov_7.139043	86447	86995	2	+	549	Putrescine utilization regulator	Putrescine utilization pathways	 	 
fig|287.6682.peg.96	CDS	NODE_10_length_235234_cov_7.139043	87296	87763	2	+	468	Acetyltransferase, GNAT family	- none -	 	 
fig|287.6682.peg.97	CDS	NODE_10_length_235234_cov_7.139043	87944	88939	2	+	996	PvcA protein, related to known isonitrile synthases	- none -	 	 
fig|287.6682.peg.98	CDS	NODE_10_length_235234_cov_7.139043	88936	89655	1	+	720	hypothetical protein	- none -	 	 
fig|287.6682.peg.99	CDS	NODE_10_length_235234_cov_7.139043	89683	91443	1	+	1761	hypothetical protein	- none -	 	 
fig|287.6682.peg.100	CDS	NODE_10_length_235234_cov_7.139043	92774	92073	-2	-	702	hypothetical protein	- none -	 	 
fig|287.6682.peg.101	CDS	NODE_10_length_235234_cov_7.139043	93112	92852	-1	-	261	hypothetical protein	- none -	 	 
fig|287.6682.peg.102	CDS	NODE_10_length_235234_cov_7.139043	94679	93192	-2	-	1488	hypothetical protein	- none -	 	 
fig|287.6682.peg.103	CDS	NODE_10_length_235234_cov_7.139043	94823	95245	2	+	423	hypothetical protein	- none -	 	 
fig|287.6682.peg.104	CDS	NODE_10_length_235234_cov_7.139043	95586	95299	-3	-	288	hypothetical protein	- none -	 	 
fig|287.6682.peg.105	CDS	NODE_10_length_235234_cov_7.139043	96183	96539	3	+	357	hypothetical protein	- none -	 	 
fig|287.6682.peg.106	CDS	NODE_10_length_235234_cov_7.139043	96555	96977	3	+	423	Guanosine-3&#39;,5&#39;-bis(Diphosphate) 3&#39;-pyrophosphohydrolase (EC 3.1.7.2)	- none -	 	 
fig|287.6682.peg.107	CDS	NODE_10_length_235234_cov_7.139043	97133	98461	2	+	1329	hypothetical protein	- none -	 	 
fig|287.6682.peg.108	CDS	NODE_10_length_235234_cov_7.139043	99697	98864	-1	-	834	NAD(P)H oxidoreductase YrkL @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2	Flavodoxin	 	 
fig|287.6682.peg.109	CDS	NODE_10_length_235234_cov_7.139043	99783	100676	3	+	894	Transcriptional regulator, LysR family	- none -	 	 
fig|287.6682.peg.110	CDS	NODE_10_length_235234_cov_7.139043	100871	101659	2	+	789	Transcriptional regulator of sugar metabolism	- none -	 	 
fig|287.6682.peg.111	CDS	NODE_10_length_235234_cov_7.139043	101721	101957	3	+	237	hypothetical protein	- none -	 	 
fig|287.6682.peg.112	CDS	NODE_10_length_235234_cov_7.139043	102086	102322	2	+	237	hypothetical protein	- none -	 	 
fig|287.6682.peg.113	CDS	NODE_10_length_235234_cov_7.139043	102392	102790	2	+	399	hypothetical protein	- none -	 	 
fig|287.6682.peg.114	CDS	NODE_10_length_235234_cov_7.139043	104163	102805	-3	-	1359	Chromate transport protein ChrA	Resistance to chromium compounds	 	 
fig|287.6682.peg.115	CDS	NODE_10_length_235234_cov_7.139043	105051	104200	-3	-	852	Uncharacterized protein, YkwD family	- none -	 	 
fig|287.6682.peg.116	CDS	NODE_10_length_235234_cov_7.139043	105241	105861	1	+	621	Cell wall hydrolyses involved in spore germination	- none -	 	 
fig|287.6682.peg.117	CDS	NODE_10_length_235234_cov_7.139043	106183	108084	1	+	1902	Kup system potassium uptake protein	Potassium homeostasis	 	 
fig|287.6682.peg.118	CDS	NODE_10_length_235234_cov_7.139043	108844	108260	-1	-	585	Nicotinamidase family protein YcaC	NAD and NADP cofactor biosynthesis global	 	 
fig|287.6682.peg.119	CDS	NODE_10_length_235234_cov_7.139043	109966	108896	-1	-	1071	Oxidoreductase	- none -	 	 
fig|287.6682.peg.120	CDS	NODE_10_length_235234_cov_7.139043	110069	110950	2	+	882	Transcriptional regulator, LysR family	- none -	 	 
fig|287.6682.peg.121	CDS	NODE_10_length_235234_cov_7.139043	111149	112915	2	+	1767	Putative amidase PA4163	- none -	 	 
fig|287.6682.peg.122	CDS	NODE_10_length_235234_cov_7.139043	113971	113231	-1	-	741	hypothetical protein	- none -	 	 
fig|287.6682.peg.123	CDS	NODE_10_length_235234_cov_7.139043	114482	114003	-2	-	480	3-demethylubiquinone-9 3-methyltransferase	- none -	 	 
fig|287.6682.peg.124	CDS	NODE_10_length_235234_cov_7.139043	115021	115413	1	+	393	Gfa-like protein	- none -	 	 
fig|287.6682.peg.125	CDS	NODE_10_length_235234_cov_7.139043	116496	115570	-3	-	927	ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	- none -	 	 
fig|287.6682.peg.126	CDS	NODE_10_length_235234_cov_7.139043	117447	116659	-3	-	789	Hydroxypyruvate isomerase (EC 5.3.1.22)	Glycerate metabolism	 	 
fig|287.6682.peg.127	CDS	NODE_10_length_235234_cov_7.139043	118466	117444	-2	-	1023	Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	Inositol catabolism	 	 
fig|287.6682.peg.128	CDS	NODE_10_length_235234_cov_7.139043	118667	120688	2	+	2022	sigma-54-dependent transcriptional regulator	- none -	 	 
fig|287.6682.peg.129	CDS	NODE_10_length_235234_cov_7.139043	121947	120898	-3	-	1050	Transcriptional regulator, LacI family / ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	- none -	 	 
fig|287.6682.peg.130	CDS	NODE_10_length_235234_cov_7.139043	122128	123240	1	+	1113	MocD	- none -	 	 
fig|287.6682.peg.131	CDS	NODE_10_length_235234_cov_7.139043	123390	123710	3	+	321	Naphthalene 1,2-dioxygenase system ferredoxin component	- none -	 	 
fig|287.6682.peg.132	CDS	NODE_10_length_235234_cov_7.139043	123729	124970	3	+	1242	Ferredoxin reductase	Anaerobic respiratory reductases	 	 
fig|287.6682.peg.133	CDS	NODE_10_length_235234_cov_7.139043	124972	125820	1	+	849	hypothetical protein	- none -	 	 
fig|287.6682.peg.134	CDS	NODE_10_length_235234_cov_7.139043	126850	125942	-1	-	909	transcriptional regulator, RipR family	- none -	 	 
fig|287.6682.peg.135	CDS	NODE_10_length_235234_cov_7.139043	127741	126977	-1	-	765	Arginine/ornithine ABC transporter, ATP-binding protein AotP	Arginine and Ornithine Degradation	 	 
fig|287.6682.peg.136	CDS	NODE_10_length_235234_cov_7.139043	128872	127760	-1	-	1113	Succinylglutamate desuccinylase/aspartoacylase	- none -	 	 
fig|287.6682.peg.137	CDS	NODE_10_length_235234_cov_7.139043	129580	128882	-1	-	699	Arginine/ornithine ABC transporter, permease protein AotM	Arginine and Ornithine Degradation	 	 
fig|287.6682.peg.138	CDS	NODE_10_length_235234_cov_7.139043	130285	129593	-1	-	693	Arginine/ornithine ABC transporter, permease protein AotQ	Arginine and Ornithine Degradation	 	 
fig|287.6682.peg.139	CDS	NODE_10_length_235234_cov_7.139043	131163	130387	-3	-	777	Arginine/ornithine ABC transporter, substrate-binding protein AotJ	- none -	 	 
fig|287.6682.peg.140	CDS	NODE_10_length_235234_cov_7.139043	132375	131545	-3	-	831	Non-heme chloroperoxidase (EC 1.11.1.10)	- none -	 	 
fig|287.6682.peg.141	CDS	NODE_10_length_235234_cov_7.139043	133592	132624	-2	-	969	MBL-fold metallo-hydrolase superfamily	- none -	 	 
fig|287.6682.peg.142	CDS	NODE_10_length_235234_cov_7.139043	134845	133643	-1	-	1203	NADH dehydrogenase (EC 1.6.99.3)	Respiratory dehydrogenases 1; <br>Riboflavin synthesis cluster	 	 
fig|287.6682.peg.143	CDS	NODE_10_length_235234_cov_7.139043	135481	135089	-1	-	393	Transcriptional regulatory protein fixJ	- none -	 	 
fig|287.6682.peg.144	CDS	NODE_10_length_235234_cov_7.139043	135777	136712	3	+	936	Transcriptional regulator, LysR family	- none -	 	 
fig|287.6682.peg.145	CDS	NODE_10_length_235234_cov_7.139043	136940	142411	2	+	5472	hypothetical protein	- none -	 	 
fig|287.6682.peg.146	CDS	NODE_10_length_235234_cov_7.139043	142568	143176	2	+	609	hypothetical protein	- none -	 	 
fig|287.6682.peg.147	CDS	NODE_10_length_235234_cov_7.139043	143284	143934	1	+	651	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|287.6682.peg.148	CDS	NODE_10_length_235234_cov_7.139043	143979	144131	3	+	153	hypothetical protein	- none -	 	 
fig|287.6682.peg.149	CDS	NODE_10_length_235234_cov_7.139043	144831	144337	-3	-	495	hypothetical protein	- none -	 	 
fig|287.6682.peg.150	CDS	NODE_10_length_235234_cov_7.139043	145883	144960	-2	-	924	Transcriptional regulator, LysR family	- none -	 	 
fig|287.6682.peg.151	CDS	NODE_10_length_235234_cov_7.139043	146021	147076	2	+	1056	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83)	- none -	 	 
fig|287.6682.peg.152	CDS	NODE_10_length_235234_cov_7.139043	147184	148539	1	+	1356	Na+/H+-dicarboxylate symporter	- none -	 	 
fig|287.6682.peg.153	CDS	NODE_10_length_235234_cov_7.139043	149074	148586	-1	-	489	hypothetical protein	- none -	 	 
fig|287.6682.peg.154	CDS	NODE_10_length_235234_cov_7.139043	149260	149658	1	+	399	hypothetical protein	- none -	 	 
fig|287.6682.peg.155	CDS	NODE_10_length_235234_cov_7.139043	150490	149975	-1	-	516	putative membrane protein	- none -	 	 
fig|287.6682.peg.156	CDS	NODE_10_length_235234_cov_7.139043	151602	150955	-3	-	648	Transcriptional regulator, Xre-family with cupin domain	- none -	 	 
fig|287.6682.peg.157	CDS	NODE_10_length_235234_cov_7.139043	151760	151599	-2	-	162	hypothetical protein	- none -	 	 
fig|287.6682.peg.158	CDS	NODE_10_length_235234_cov_7.139043	151993	152208	1	+	216	Organosulfonate utilization protein SsuF	- none -	 	 
fig|287.6682.peg.159	CDS	NODE_10_length_235234_cov_7.139043	152461	152321	-1	-	141	hypothetical protein	- none -	 	 
fig|287.6682.peg.160	CDS	NODE_10_length_235234_cov_7.139043	153390	152530	-3	-	861	LysR family transcriptional regulator lrhA	LysR-family proteins in Escherichia coli; <br>LysR-family proteins in Salmonella enterica Typhimurium	 	 
fig|287.6682.peg.161	CDS	NODE_10_length_235234_cov_7.139043	153643	154485	1	+	843	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	- none -	 	 
fig|287.6682.peg.162	CDS	NODE_10_length_235234_cov_7.139043	154550	155401	2	+	852	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	- none -	 	 
fig|287.6682.peg.163	CDS	NODE_10_length_235234_cov_7.139043	155398	156822	1	+	1425	D-2-hydroxyglutarate dehydrogenase (EC 1.1.99.2)	- none -	 	 
fig|287.6682.peg.164	CDS	NODE_10_length_235234_cov_7.139043	156819	158030	3	+	1212	Aspartate aminotransferase (EC 2.6.1.1)	CBSS-216591.1.peg.168; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis; <br>Threonine and Homoserine Biosynthesis	 	 
fig|287.6682.peg.165	CDS	NODE_10_length_235234_cov_7.139043	158027	158761	2	+	735	ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)	- none -	 	 
fig|287.6682.peg.166	CDS	NODE_10_length_235234_cov_7.139043	158751	159539	3	+	789	ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)	- none -	 	 
